HMDB ID	KEGG ID	reference acc.
HMDB14442	C07529	HMDB0014442
HMDB0014442	C07529	HMDB0014442
HMDB14444	C07417	HMDB0014444
HMDB0014444	C07417	HMDB0014444
HMDB14446	C11748	HMDB0014446
HMDB0014446	C11748	HMDB0014446
HMDB14447	C12535	HMDB0014447
HMDB0014447	C12535	HMDB0014447
HMDB14449	C07629	HMDB0014449
HMDB0014449	C07629	HMDB0014449
HMDB14450	C06681	HMDB0014450
HMDB0014450	C06681	HMDB0014450
HMDB14453	C07753	HMDB0014453
HMDB0014453	C07753	HMDB0014453
HMDB14457	C07422	HMDB0014457
HMDB0014457	C07422	HMDB0014457
HMDB14460	C07218	HMDB0014460
HMDB0014460	C07218	HMDB0014460
HMDB14464	C14034	HMDB0014464
HMDB0014464	C14034	HMDB0014464
HMDB14465	C07798	HMDB0014465
HMDB0014465	C07798	HMDB0014465
HMDB14466	C06824	HMDB0014466
HMDB0014466	C06824	HMDB0014466
HMDB14467	C11736	HMDB0014467
HMDB0014467	C11736	HMDB0014467
HMDB14468	C07949	HMDB0014468
HMDB0014468	C07949	HMDB0014468
HMDB14470	C07269	HMDB0014470
HMDB0014470	C07269	HMDB0014470
HMDB14472	C07042	HMDB0014472
HMDB0014472	C07042	HMDB0014472
HMDB14473	C01926	HMDB0014473
HMDB0014473	C01926	HMDB0014473
HMDB14474	C06984	HMDB0014474
HMDB0014474	C06984	HMDB0014474
HMDB14476	C07052	HMDB0014476
HMDB0014476	C07052	HMDB0014476
HMDB14477	C07163	HMDB0014477
HMDB0014477	C07163	HMDB0014477
HMDB14480	C08042	HMDB0014480
HMDB0014480	C08042	HMDB0014480
HMDB14483	C01956	HMDB0014483
HMDB0014483	C01956	HMDB0014483
HMDB14486	C07463	HMDB0014486
HMDB0014486	C07463	HMDB0014486
HMDB14487	C06958	HMDB0014487
HMDB0014487	C06958	HMDB0014487
HMDB14488	C07408	HMDB0014488
HMDB0014488	C07408	HMDB0014488
HMDB14495	C07120	HMDB0014495
HMDB0014495	C07120	HMDB0014495
HMDB14496	C07648	HMDB0014496
HMDB0014496	C07648	HMDB0014496
HMDB14498	C07777	HMDB0014498
HMDB0014498	C07777	HMDB0014498
HMDB14499	C06840	HMDB0014499
HMDB0014499	C06840	HMDB0014499
HMDB14500	C07931	HMDB0014500
HMDB0014500	C07931	HMDB0014500
HMDB14501	C07617	HMDB0014501
HMDB0014501	C07617	HMDB0014501
HMDB14502	C07633	HMDB0014502
HMDB0014502	C07633	HMDB0014502
HMDB14503	C07658	HMDB0014503
HMDB0014503	C07658	HMDB0014503
HMDB14507	C06924	HMDB0014507
HMDB0014507	C06924	HMDB0014507
HMDB14508	C07314	HMDB0014508
HMDB0014508	C07314	HMDB0014508
