HMDB ID	KEGG ID	reference acc.
HMDB10347	C03033 	HMDB0010347
HMDB0010347	C03033 	HMDB0010347
HMDB10349	C04300	HMDB0010349
HMDB0010349	C04300	HMDB0010349
HMDB10350	C03033	HMDB0010350
HMDB0010350	C03033	HMDB0010350
HMDB10353	C03033	HMDB0010353
HMDB0010353	C03033	HMDB0010353
HMDB10355	C03033	HMDB0010355
HMDB0010355	C03033	HMDB0010355
HMDB10358	C11289	HMDB0010358
HMDB0010358	C11289	HMDB0010358
HMDB10362	C03033	HMDB0010362
HMDB0010362	C03033	HMDB0010362
HMDB10363	C03033	HMDB0010363
HMDB0010363	C03033	HMDB0010363
